cep,latitude,longitude,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024,media,maximo,minimo,soma,tendencia,casos_previstos_2026,risco_2026
19915832,-22.9520803,-49.8544195,0,0,0,0,0,0,0,0,1,4,0.5,4,0,5,4,6.135540189467065,MEDIO
19914580,-22.967090866666663,-49.854528375,0,0,0,0,0,0,0,1,2,4,0.7,4,0,7,4,6.1162875426653045,MEDIO
19907570,-22.97327823333333,-49.891785766666665,0,0,0,1,0,0,2,0,0,2,0.5,2,0,5,2,6.097864068816307,MEDIO
19905500,-23.00085462,-49.88522226166667,0,0,0,0,5,0,0,1,7,2,1.5,7,0,15,2,6.094212363850602,MEDIO
19907380,-22.972563180134724,-49.876469768487496,0,0,0,2,1,1,3,1,1,7,1.6,7,0,16,7,6.093787953555875,MEDIO
19901020,-22.98878021933333,-49.86863808505882,0,0,0,0,0,0,2,1,10,3,1.6,10,0,16,3,6.092592431405137,MEDIO
19904200,-22.98813272961242,-49.87715470282341,0,0,0,1,2,0,8,1,4,5,2.1,8,0,21,5,6.082504031035569,MEDIO
19905360,-22.998617222222222,-49.88500226222222,0,0,0,0,1,0,1,2,17,5,2.6,17,0,26,5,6.082229489735255,MEDIO
19915735,-22.952815222222224,-49.85629635,0,0,0,0,0,0,2,0,0,3,0.5,3,0,5,3,6.070195471839725,MEDIO
19915796,-22.9778384825,-49.87308815041666,0,0,0,0,0,0,2,0,1,10,1.3,10,0,13,10,6.0689278183854185,MEDIO
19913000,-22.9837059414902,-49.85630374768628,0,0,0,0,0,0,1,9,2,5,1.7,9,0,17,5,6.054128821233462,MEDIO
19913005,-22.984152551126986,-49.85533662271428,0,0,0,0,2,0,4,7,3,4,2.0,7,0,20,4,6.03964737651404,MEDIO
19910610,-22.972312785539685,-49.882669427654754,0,0,0,0,1,1,0,5,9,2,1.8,9,0,18,2,6.026193140081887,MEDIO
19911790,-22.972361318472224,-49.86624162697917,0,0,0,1,0,0,6,0,0,4,1.1,6,0,11,4,5.993385935018523,MEDIO
19905151,-22.978844308106577,-49.84061593358844,0,0,0,0,1,1,3,1,4,2,1.2,4,0,12,2,5.962527007015524,MEDIO
19906543,-22.98731760106209,-49.89290474493464,0,0,0,0,1,0,2,3,3,3,1.2,3,0,12,3,5.934505855366297,MEDIO
19905475,-23.004282924695705,-49.884577057682975,0,0,0,1,0,0,1,0,8,3,1.3,8,0,13,3,5.92338853471847,MEDIO
